PromoID,PromoName,StartDate,EndDate,ProductID,ChannelID,LocationID,PromoLevel,DiscountPct,UpliftPct,Notes
P0001,SUMMER RETAIL Promo 0001,2023-07-10,2023-07-19,PEAR_FAMILY,RETAIL,NL-GE,221,5,10,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0031,SUMMER WHOLESALE Promo 0031,2024-07-19,2024-07-25,PEAR_ABATE,HOLLANDFOODSERVICE,NL-NH,111,15,25,season=SUMMER; group=WHOLESALE; uplift=f(discount)+noise
P0032,SHOULDER RETAIL Promo 0032,2024-03-07,2024-03-13,APPLE_JONAGOLD,AH,NL-NH,111,8,21,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0033,WINTER RETAIL Promo 0033,2024-12-22,2024-12-28,PEAR_WILLIAMS,AH,NL-NH,111,5,15,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0034,SHOULDER RETAIL Promo 0034,2024-04-06,2024-04-19,PEAR_CONFERENCE,AH,NL-NB,111,5,14,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0035,SUMMER RETAIL Promo 0035,2024-08-25,2024-08-31,PEAR_FAMILY,RETAIL,NL-NB,221,20,39,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0036,SHOULDER2 WHOLESALE Promo 0036,2024-09-10,2024-09-23,PEAR_WILLIAMS,SLIGRO,NL-NB,111,20,25,season=SHOULDER2; group=WHOLESALE; uplift=f(discount)+noise
P0037,SUMMER RETAIL Promo 0037,2025-08-28,2025-09-03,APPLE_GALA,JUMBO,NL-GE,111,10,23,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0038,WINTER RETAIL Promo 0038,2025-01-07,2025-01-13,PEAR_COMICE,AH,NL-NH,111,10,21,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0039,SHOULDER2 ONLINE Promo 0039,2025-11-17,2025-11-23,APPLE_ELSTAR,HELLOFRESH,NL-ZH,111,12,26,season=SHOULDER2; group=ONLINE; uplift=f(discount)+noise
P0040,WINTER RETAIL Promo 0040,2025-02-07,2025-02-16,APPLE_FAMILY,RETAIL,NL-GE,221,8,21,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0041,WINTER RETAIL Promo 0041,2025-12-20,2025-12-26,APPLE_FAMILY,RETAIL,NL-NB,221,25,46,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0042,SHOULDER RETAIL Promo 0042,2025-05-13,2025-05-22,APPLE_GALA,JUMBO,NL-NH,111,25,46,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0043,SUMMER RETAIL Promo 0043,2025-06-01,2025-06-07,PEAR_FAMILY,RETAIL,NL-NB,221,12,25,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0044,SHOULDER2 RETAIL Promo 0044,2025-10-15,2025-10-21,APPLE_GRANNY_SMITH,PLUS,NL-NB,111,5,18,season=SHOULDER2; group=RETAIL; uplift=f(discount)+noise
P0045,WINTER RETAIL Promo 0045,2025-02-03,2025-02-12,APPLE_JONAGOLD,AH,NL-GE,111,10,19,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0046,SUMMER ONLINE Promo 0046,2025-06-15,2025-06-21,PEAR_FAMILY,ONLINE,NL-ZH,221,15,22,season=SUMMER; group=ONLINE; uplift=f(discount)+noise
P0047,SUMMER RETAIL Promo 0047,2025-07-30,2025-08-08,PEAR_FAMILY,RETAIL,NL-GE,221,25,48,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0048,SUMMER RETAIL Promo 0048,2025-07-29,2025-08-07,APPLE_FAMILY,RETAIL,NL-ZH,221,5,18,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0049,SUMMER RETAIL Promo 0049,2025-06-02,2025-06-15,APPLE_FAMILY,RETAIL,NL-ZH,221,20,34,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0050,SHOULDER RETAIL Promo 0050,2025-05-20,2025-05-26,APPLE_GALA,PLUS,NL-NB,111,25,44,season=SHOULDER; group=RETAIL; uplift=f(discount)+noise
P0051,WINTER RETAIL Promo 0051,2025-01-21,2025-01-30,PEAR_ABATE,AH,NL-NH,111,8,18,season=WINTER; group=RETAIL; uplift=f(discount)+noise
P0052,SUMMER RETAIL Promo 0052,2025-06-04,2025-06-17,PEAR_WILLIAMS,PLUS,NL-NB,111,10,15,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0053,SUMMER RETAIL Promo 0053,2025-08-15,2025-08-21,APPLE_GALA,AH,NL-GE,111,8,23,season=SUMMER; group=RETAIL; uplift=f(discount)+noise
P0054,WINTER RETAIL Promo 0054,2025-02-09,2025-02-15,APPLE_GALA,JUMBO,NL-NB,111,15,35,season=WINTER; group=RETAIL; uplift=f(discount)+noise
